timestamp,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5
2023-02-03 11:35:51,50336.00,49808.00,51056.00,50736.00,49968.00
2023-02-03 11:35:58,50480.00,49808.00,50960.00,50816.00,49904.00
2023-02-03 11:36:06,50336.00,49920.00,50976.00,50784.00,49824.00
2023-02-03 11:36:13,50368.00,49840.00,50960.00,50752.00,49984.00
2023-02-03 11:36:20,50304.00,49952.00,50960.00,50704.00,49888.00
2023-02-03 11:36:28,50048.00,49904.00,51024.00,50576.00,49872.00
2023-02-03 11:36:35,50240.00,50016.00,51024.00,50688.00,49856.00
2023-02-03 11:36:42,50224.00,49952.00,51008.00,50736.00,49824.00
2023-02-03 11:36:49,50432.00,49808.00,51056.00,50688.00,49712.00
2023-02-03 11:36:57,50336.00,49952.00,51040.00,50640.00,49776.00
2023-02-03 11:37:04,50272.00,49984.00,51024.00,50752.00,49952.00
2023-02-03 11:37:11,50336.00,49904.00,51040.00,50672.00,49936.00
2023-02-03 11:37:19,50336.00,49952.00,51024.00,50736.00,49824.00
2023-02-03 11:37:26,50336.00,49872.00,51088.00,50704.00,49904.00
2023-02-03 11:37:33,50320.00,49952.00,51040.00,50704.00,50032.00
2023-02-03 11:37:41,50352.00,50064.00,51120.00,50816.00,49952.00
2023-02-03 11:37:48,50400.00,49920.00,51040.00,50528.00,49840.00
2023-02-03 11:37:55,50368.00,49936.00,50944.00,50656.00,49808.00
2023-02-03 11:38:03,50352.00,49920.00,50976.00,50800.00,49008.00
2023-02-03 11:38:10,50336.00,49984.00,51056.00,50800.00,49872.00
2023-02-03 11:38:17,50384.00,50032.00,51008.00,50688.00,49888.00
2023-02-03 11:38:25,50304.00,50192.00,51072.00,50688.00,49904.00
2023-02-03 11:38:32,50448.00,49968.00,51136.00,50496.00,49936.00
2023-02-03 11:38:39,50320.00,49824.00,51072.00,50608.00,49872.00
2023-02-03 11:38:47,50432.00,50048.00,51136.00,50768.00,49728.00
2023-02-03 11:38:54,50384.00,50064.00,51088.00,50752.00,49952.00
2023-02-03 11:39:01,50368.00,49984.00,50976.00,50672.00,49808.00
2023-02-03 11:39:08,50352.00,50064.00,51024.00,50704.00,49856.00
2023-02-03 11:39:16,50400.00,50016.00,51072.00,50688.00,49952.00
2023-02-03 11:39:23,50320.00,50000.00,51072.00,50656.00,49824.00
2023-02-03 11:39:30,50288.00,49952.00,50976.00,50768.00,49856.00
2023-02-03 11:39:38,50544.00,50096.00,51056.00,50736.00,49920.00
2023-02-03 11:39:45,50352.00,50032.00,51040.00,50720.00,49920.00
2023-02-03 11:39:52,50368.00,50192.00,50992.00,50640.00,49152.00
2023-02-03 11:40:00,50208.00,49904.00,51072.00,50704.00,49968.00
2023-02-03 11:40:07,50432.00,49824.00,51024.00,50688.00,49840.00
2023-02-03 11:40:14,50384.00,50000.00,51024.00,50560.00,49856.00
2023-02-03 11:40:22,50448.00,49920.00,50976.00,50640.00,49856.00
2023-02-03 11:40:29,50512.00,49952.00,51024.00,50704.00,49696.00
2023-02-03 11:40:36,50368.00,49968.00,50992.00,50560.00,49952.00
2023-02-03 11:40:44,50336.00,50000.00,51264.00,50592.00,49648.00
2023-02-03 11:40:51,50272.00,50064.00,50992.00,50656.00,49936.00
2023-02-03 11:40:58,50416.00,49968.00,51008.00,50624.00,49984.00
2023-02-03 11:41:06,50400.00,49984.00,50976.00,50512.00,49920.00
2023-02-03 11:41:13,50384.00,49968.00,51056.00,50592.00,49872.00
2023-02-03 11:41:20,50384.00,49952.00,51056.00,50640.00,49856.00
2023-02-03 11:41:27,50448.00,49968.00,51120.00,50576.00,49968.00
2023-02-03 11:41:35,52384.00,50096.00,51104.00,50608.00,49760.00
2023-02-03 11:41:42,50352.00,50032.00,51056.00,50704.00,49904.00
2023-02-03 11:41:49,50400.00,50016.00,50992.00,50656.00,49920.00
2023-02-03 11:41:57,50384.00,49936.00,51088.00,50736.00,49984.00
2023-02-03 11:42:04,50448.00,50000.00,51040.00,50640.00,49920.00
2023-02-03 11:42:11,50416.00,50016.00,51184.00,50480.00,49840.00
2023-02-03 11:42:19,51264.00,49920.00,51168.00,50400.00,49856.00
2023-02-03 11:42:26,50432.00,49968.00,51008.00,50496.00,49792.00
2023-02-03 11:42:33,50448.00,49712.00,33440.00,50800.00,49808.00
2023-02-03 11:42:41,30032.00,48896.00,30976.00,50688.00,29936.00
2023-02-03 11:42:48,29904.00,35584.00,30608.00,32800.00,29776.00
2023-02-03 11:42:55,29600.00,31344.00,30544.00,32672.00,29760.00
2023-02-03 11:43:03,29872.00,31440.00,30592.00,32560.00,29744.00
2023-02-03 11:43:10,29792.00,31104.00,30528.00,32688.00,29744.00
2023-02-03 11:43:17,29872.00,31040.00,30496.00,32688.00,29792.00
2023-02-03 11:43:25,29632.00,31104.00,30512.00,32640.00,29744.00
2023-02-03 11:43:32,29776.00,30960.00,30624.00,32816.00,29808.00
2023-02-03 11:43:39,29872.00,30912.00,30528.00,32592.00,29776.00
2023-02-03 11:43:46,29808.00,30896.00,30560.00,32576.00,29776.00
2023-02-03 11:43:54,29840.00,30976.00,30624.00,32688.00,29744.00
2023-02-03 11:44:01,29744.00,31040.00,30544.00,32560.00,29792.00
2023-02-03 11:44:08,29856.00,30960.00,30544.00,32624.00,29712.00
2023-02-03 11:44:16,29872.00,30960.00,30608.00,32496.00,29776.00
2023-02-03 11:44:23,29888.00,30992.00,30560.00,32544.00,29760.00
2023-02-03 11:44:30,29776.00,30880.00,30528.00,30224.00,29504.00
2023-02-03 11:44:38,29568.00,30592.00,30320.00,28688.00,28848.00
2023-02-03 11:44:45,29584.00,30816.00,31040.00,28784.00,28992.00
2023-02-03 11:44:52,29568.00,30704.00,31216.00,28752.00,28912.00
2023-02-03 11:45:00,29488.00,30544.00,29008.00,28752.00,28928.00
2023-02-03 11:45:07,29504.00,30880.00,29184.00,28752.00,29040.00
2023-02-03 11:45:14,29600.00,30576.00,29008.00,28720.00,28960.00
2023-02-03 11:45:22,29248.00,30576.00,29040.00,28800.00,28912.00
2023-02-03 11:45:29,29504.00,30592.00,29040.00,28752.00,28976.00
2023-02-03 11:45:36,29600.00,30528.00,29072.00,28656.00,28976.00
2023-02-03 11:45:43,29472.00,30624.00,29008.00,28704.00,28928.00
2023-02-03 11:45:51,29472.00,30624.00,29024.00,28752.00,28912.00
2023-02-03 11:45:58,29520.00,30608.00,29072.00,28768.00,28992.00
2023-02-03 11:46:05,29504.00,30688.00,29040.00,28976.00,28928.00
